ITEM_SEQ,INGR_CODE,INGR_NAME,QNT,INGD_UNIT_CD
202300078,D001098,"트리프롤리딘염산염수화물",,"밀리그램"
202300081,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300081,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300082,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300082,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300083,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300083,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300084,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300084,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300085,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300085,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300086,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300086,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300087,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300087,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300088,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300088,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300089,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300089,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300090,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300090,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300091,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300091,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300093,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300093,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300094,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300094,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300096,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300096,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300097,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300097,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300098,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300098,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300099,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300099,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300100,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300100,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300101,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300101,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300102,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300102,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300103,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300103,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300104,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300104,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300105,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300105,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300106,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300106,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300107,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300107,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300108,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300108,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300109,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300109,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300110,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300110,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300111,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300111,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300112,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300112,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300113,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300113,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300114,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300114,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300115,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300115,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300116,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300116,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300117,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300117,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300118,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300118,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300119,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300119,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300120,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
202300120,D000868,"에스암로디핀베실산염2.5수화물",,"밀리그램"
202300121,D000624,"피마사르탄칼륨삼수화물",,"밀리그램"
